,store_name,date,review,length,review_check,check_length,menu,mood,service,price,clean,room,parking,photo,sum,helpful,맛,맛집,메뉴_음식,친절_직원,때,예약,가격,분위기,추천,store,딘타이펑,백억하누,화기애애,라그릴리아,강남진해장,구스,파파야리프,고양이부엌,시골야채된장,을밀대,담소,청류벽,기리야마,시카고,대려도,신부자,봉추찜닭,리샨,Pavox,삼거리,느린마을,봉피양
10,느린마을양조장 강남점,2020-07-24,예약하고 가서 웨이팅 없이 바로 입장할 수 있어서 좋았어요  일하시는 분들도 친절하시고 안주 막걸리도 맛있었어요  화장실도 깔끔하고 좋았습니다 다만 테이블이 너무 다닥다닥 붙어있어서 좁다고 느껴졌어요,111,예약하고 가서 웨이팅 없이 바로 입장할 수 있어서 좋았어요 일 하시는 분들도 친절하시고 안주 막걸리도 맛있었어요 화장실도 깔끔하고 좋았습니다 다만 테이블이 너무 다닥다닥 붙어 있어서 좁다고 느껴졌어요,111,1,1,1,0,1,1,0,0,5,1,1,0,0,1,0,1,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
11,시골야채된장,2020-08-13,최악이었어요 맛녀석들보고 별점보고 갔는데 청국장에서 쓴맛이나고 밑반찬도 맛이없고 날벌레가 계속 날아다니고 덥고 습한날씨에 에어컨도 약하게틀어 실내도 꿉꿉 합니다 게다가 계산하시는분 사장님인것 같은데 앉아서 계산만하지 별로 친절하지도 않구요 어느것하나 괜찮은게 없습니다 엄마랑 맛있게 먹으려고 갔는데 형편없는 음식을 사드려서 너무 속상하네요  속상하고 화가나서 처음으로 리뷰라는걸 남깁니다,216,최악이었어요 맛있는녀셕들 보고 별점 보고 갔는데 청국장에서 쓴맛이 나고 밑반찬도 맛이 없고 날벌레가 계속 날아다니고 덥고 습한 날씨에 에어컨도 약하게 틀어 실내도 꿉꿉합니다 게다가 계산하시는 분 사장님인 것 같은데 앉아서 계산만 하지 별로 친절하지도 않고요 어느 것 하나 괜찮은 게 없습니다 엄마랑 맛있게 먹으려고 갔는데 형편없는 음식을 사드려서 너무 속상하네요 속상하고 화가 나서 처음으로 리뷰라는 걸 남깁니다,230,1,1,1,0,1,1,0,0,5,1,1,0,1,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12,봉피양제주 강남점,2021-03-20,솔직히 실망입니다 새로 옮겼다고 하여 가봤는데 인테리어도 분위기도 어수선하고 돼지본갈비는 29000 원인데 안에서 구워져 나옵니다 마치 잔뜩 구워놓고 데워오시는 거 같아요 뼈 하나가 좀 식었더라고요 예전맛이 아니에여실망 주차도 불편하고 원래 엄청 단골이였는데 다시 방문하진 않을 거 같습니다 옛날 장점이 하나도 없어요,177,솔직히 실망입니다 새로 옮겼다고 하여 가봤는데 인테리어도 분위기도 어수선하고 돼지 본 갈비는 29000원인데 안에서 구워져 나옵니다 마치 잔뜩 구워놓고 데워오시는 거 같아 뼈 하나가 좀 식었더라고요 예전 맛이 아니에요 실망 주차도 불편하고 원래 엄청 단골이었는데 다시 방문하진 않을 거 같습니다 옛날 장점이 하나도 없어요,179,1,1,1,1,0,0,1,0,5,1,1,0,0,0,0,0,0,1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13,라그릴리아 SPC스퀘어점,2021-09-17,미리 예약하고 가시면 창가 자리 앉을 수 있어요 맛있고 분위기 좋지만 가격이 좀 나가는거 같습니다 직원분들 친절하세요,65,미리 예약하고 가시면 창가 자리 앉을 수 있어 맛있고 분위기 좋지만 가격이 좀 나가는 거 같습니다 직원분들 친절하세요,65,1,1,1,1,0,1,0,0,5,1,1,0,0,1,0,1,1,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,느린마을양조장 강남점,2022-04-25,매장도 넓고 예약도 되고 안주 가격대는 있지만 정말 맛있다는게 가장 큰장점이지만 친절하지도 불친절하지도 않은 무의 상태 여기는 무한리필  시간이 아주 중요합니다 시간을 서버도 저희도 모른상태로 술을 주셨는데 먹기 직전에 2시간이 지났다며 단품주문 권하셨고 단품으로는 안시킨다  하니 다시가져가셨어여 웃음 주문전에 시간한번안내해주면 좋을것같아요,191,매장도 넓고 예약도 되고 안주 가격대는 있지만 정말 맛있다는 게 가장 큰 장점이지만 친절하지도 불친절하지도 않은 상태 여기는 무한리필 시간이 아주 중요합니다 시간을 서버도 저희도 모른 상태로 술을 주셨는데 먹기 직전에 2시간이 지났다며 단품 주문권 하셨고 단품으로는 안 시킨다 하니 다시 가져가셨어요 웃음 주문 전에 시간 한번 안내해주면 좋을 것 같아요,197,1,1,1,1,0,1,0,0,5,1,1,0,0,1,0,1,1,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
15,봉피양제주 강남점,2022-04-30,할아버지생신이여서 오랜만에 가족모임을 햇습니다 워낙깔끔한매장이라 엄마아빠도 너무 맛족해하셨어요 집에선 고기 입에도 안대던 애들이고기 너무잘먹어서 놀랬네요웃음  입에서 살살 녹습니다 웃음 직원분들도 넘 친절하시고 일단고기가 너무신선해요웃음 육즙팡팡입니당웃음 다음에또 소한마리잡으러 갈께요굿,160,할아버지 생신이어서 오랜만에 가족 모임을 했습니다 워낙 깔끔한 매장이라 엄마 아빠도 너무 만족해 하셨어요 집에선 고기 입에도 안 대던 애들이 고기 너무 잘 먹어서 놀랬네요 웃음 입에서 살살 녹습니다 웃음 직원분들도 너무 친절하시고 일단 고기가 너무 신선해 웃음 육즙 팡팡입니다 웃음 다음에 또 소 한 마리 잡으러 갈게요 굿,180,1,1,1,0,1,1,0,0,5,1,0,0,0,1,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16,봉피양제주 강남점,2022-07-22,매장도 깔끔하고 직원분들 모두 친절하셨어요  덕분에 기분좋게 먹었고 음식도 너무 맛있었습니다 맛집으로 많이 이용할거 같아요 지인들도 엄청 만족해했습니다,84,매장도 깔끔하고 직원분들 모두 친절하셨어요 덕분에 기분 좋게 먹었고 음식도 너무 맛있었습니다 맛집으로 많이 이용할 거 같아 지인들도 엄청 만족해했습니다,84,1,1,1,0,1,1,0,0,5,1,1,1,1,1,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17,라그릴리아 SPC스퀘어점,2022-01-12,음식이 맛있어요  무난한 맛과 가격이라 소개팅이나 모임장소로 추천합니다,39,음식이 맛있어요 무난한 맛과 가격이라 소개팅이나 모임 장소로 추천합니다,39,1,1,0,1,0,1,0,1,5,1,1,0,1,0,0,0,1,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,백억하누 강남본점,2022-01-02,매장도 청결하고 특별한 날 방문하기 너무 좋은곳입니다 웃음 시댁가족들과 방문했는데 고기 질도 좋고 너무너무 만족해하셨어요 재방문의사 100프로입니다,82,매장도 청결하고 특별한 날 방문하기 너무 좋은 곳입니다 웃음 시댁 가족들과 방문했는데 고기 질도 좋고 너무너무 만족해하셨어요 재방문의사 100퍼센트입니다,85,1,1,0,0,1,1,0,1,5,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,백억하누 강남본점,2022-01-02,부모님 모시고 갔는데 좋은 시간 만들어주셔서 감사해요 웃음 조용한 자리에 미리 세팅도 완료해서 준비해주셨고 고기도 처음부터 끝까지 맛있게 구워주셨어요,83,부모님 모시고 갔는데 좋은 시간 만들어 주셔서 감사해요 웃음 조용한 자리에 미리 세팅도 완료해서 준비해주셨고 고기도 처음부터 끝까지 맛있게 구워주셨어요,84,1,1,1,0,0,1,0,1,5,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,백억하누 강남본점,2022-05-25,재료가 신선해서 더 맛있는거 같아요 미리 예약하고 갔더니 자리 세팅 해주셨는데 옆테이블이 너무 시끄러워서 말씀드리니 바로 자리 바꿔주셨어요  친절하시고 음식도 대부분 맛있었네요 셀프바에서 반찬들 추가로 자유롭게 먹을수 있으니 그것도 너무 좋았던거 같습니다 재방문 의사 있어요,153,재료가 신선해서 더 맛있는 거 같아요 미리 예약하고 갔더니 자리 세팅해 주셨는데 옆 테이블이 너무 시끄러워서 말씀드리니 바로 자리 바꿔주셨어요 친절하시고 음식도 대부분 맛있었네요 셀프 바에서 반찬들 추가로 자유롭게 먹을 수 있으니 그것도 너무 좋았던 거 같습니다 재방문의사 있어요,156,1,1,1,0,0,1,0,1,5,1,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,라그릴리아 SPC스퀘어점,2022-06-14,매장은 크고 넓은데도 예약은 필수 손님들로 가득차네요 음식도 다 맛있고 스테이크 돌판이 너무 작고 가운데가 솟은 형태라 고기 썰면서 자꾸 아래로 떨어져서 곤란했어요 식전빵은 한번 리필 가능하구요 화장실은 휴지통 큰걸 비치해서 문 열고 들어가기가 불편할 정도 조금 작은거로 다른 위치에 두면 좋을 듯 해요 대체적으로 깨끗하고 좋은편인데 매장 인테리어는 특색이 없어서 좀 아쉬웠고 메인 출입문 안내가 작아서 그냥 찾아가기엔 힘들었어요,240,매장은 크고 넓은데도 예약은 필수 손님들로 가득 차네요 음식도 다 맛있고 스테이크 돌판이 너무 작고 가운데가 솟은 형태라고 기썰면서 자꾸 아래로 떨어져서 곤란했어식 전 빵은 한 번 리필 가능하고요 화장실은 휴지통 큰 걸 비치해서 문 열고 들어가기가 불편할 정도 조금 작은 거로 다른 위치에 두면 좋을 듯해요 대체적으로 깨끗하고 좋은 편인데 매장 인테리어는 특색이 없어서 좀 아쉬웠고 메인 출입문 안내가 작아서 그냥 찾아가기엔 힘들었어요,243,1,1,0,0,1,1,0,1,5,1,1,0,1,0,0,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,백억하누 강남본점,2022-07-12,매장이 넓고 룸 형식이라 프라이빗하게 식사하기 좋았습니다 한우차돌과 활전복 관자구이의 삼합 조합도 맛있었고 전체적으로 음식이 정갈해서 만족스러운 식사였어요 주차도 편리해서 재방문 의사 있습니다 웃음,110,매장이 넓고 룸 형식이라 프라이빗하게 식사하기 좋았습니다 한우 차돌과 활전복과 자구의 삼합 조합도 맛있었고 전체적으로 음식이 정갈해서 만족스러운 식사였어요 주차도 편리해서 재방문의사 있습니다 웃음,109,1,1,0,0,0,1,1,1,5,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,딘타이펑 강남점,2019-11-05,샤롱바오 먹고싶을 땐 역시 딘타이펑인거 같아요 한입에 쏙들어가고 피도 얇고 육즙도 최고네요 같이먹은 새우샤오마이도 맛있었습니다 네이버로 예약하면 5천원 이하 음료도 제공해주시네요,99,샤오룽바오 먹고 싶을 땐 역시 딘타이펑인 거 같아요 입에 쏙 들어가고 피도 얇고 육즙도 최고네요 같이 먹은 새우 샤오마이도 맛있었습니다 네이버로 예약하면 5천 원 이하 음료도 제공해주시네요,105,1,0,1,1,0,1,0,1,5,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,느린마을양조장 강남점,2019-11-05,예약하니 조용한 자리 주셔서 맛있게 먹고 왔습니다 쭈꾸미랑 고기국수 완전 추천이에요,46,예약하니 조용한 자리 주셔서 맛있게 먹고 왔습니다 쭈꾸미랑 고기국수 완전히 추천이에요,47,1,1,1,0,0,1,0,1,5,1,1,0,0,0,0,1,0,0,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
25,백억하누 강남본점,2019-11-06,저택의 아늑함이 느껴지는 분위기가 좋았고 직원들의 친절함도 고객을 만족시키네요웃음 푸짐한 무한리필 한우불고기가 맛이 좋은데 계란 노른자에다 불고기를 찍어 먹으니 감칠맛이 있네요 양이 많아서 리필을 한 번도 못한 것이 살짝 억울합니다 리필을 안 할때는 공기밥은 무상제공해 주시면 안 될까요 이번엔 조개류 알러지 있는 친구덕분에 삼합을 못먹었는데 다음엔 삼합을 먹으렵니다,205,저택의 아늑함이 느껴지는 분위기가 좋았고 직원들의 친절함도 고객을 만족시키네요 웃음 푸짐한 무한리필 한우불고기가 맛이 좋은데 계란 노른자에다 불고기를 찍어 먹으니 감칠맛이 있네요 양이 많아서 리필을 한 번도 못한 것이 살짝 억울합니다 리필을 안 할 때는 공깃밥은 무상 제공해주시면 안 될까요 이번엔 조개류 알레르기 있는 친구 덕분에 삼합을 못 먹었는데 다음엔 삼합을 먹으렵니다,210,1,1,1,1,0,0,0,1,5,1,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,화기애애 강남역점,2019-12-28,고기맛도 좋고 분위기도좋고 서비스도 좋고 덕분에 친구들하고 좋은시간 보냈답니다하트,45,고기 맛도 좋고 분위기도 좋고 서비스도 좋고 덕분에 친구들하고 좋은 시간 보냈답니다 하트,49,1,1,1,0,0,1,0,1,5,1,1,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,화기애애 강남역점,2019-09-02,그냥 맛있었어요  고기가 캠핑가서 먹는 그런맛  가격이 싸요 분위기 좋아요  청첩장 모임 두번 남았는데 여기서 할꺼에요,66,그냥 맛있었어요 고기가 캠핑 가서 먹는 그런 맛 가격이 싸요 분위기 좋아요 청첩장 모임 두 번 남았는데 여기서 할 거예요,67,1,1,0,1,0,1,0,1,5,1,1,0,0,0,0,0,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,화기애애 강남역점,2020-02-20,분위기도 어둑하고 은은한 조명에 딱 테이블만 집중할수있어서 좋았고 은근 양도 많고 고기자체도 고소하고 질기기도 않고 맛있어요 또 숯불 화로에 굽다보니 고기냄새도 안나고 연기도 많이 나지않고 깔끔하게 먹기 딱 좋아요 직원분들도 다들 친절하셨어욯웃음,137,분위기도 어둑하고 은은한 조명에 딱 테이블만 집중할 수 있어서 좋았고 은근 양도 많고 고기 자체도 고소하고 질기기도 않고 맛있어요 또 숯불 화로에 굽다 보니 고기 냄새도 안 나고 연기도 많이 나지 않고 깔끔하게 먹기 딱 좋아요 직원분들도 다들 친절하셨어요 웃음,145,1,1,1,0,1,0,0,1,5,1,1,0,0,1,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,라그릴리아 SPC스퀘어점,2020-03-27,배부른 브런치에요 데이트 하기도 좋고 부모님과 와도 좋은 장소에요 생각보다 사람이 많아서 조용한 분위기는 아니지만 깔끔하고 좋아요 웃음,75,배부른 브런치에 데이트하기도 좋고 부모님과 와도 좋은 장소에 생각보다 사람이 많아서 조용한 분위기는 아니지만 깔끔하고 좋아 웃음,71,1,1,0,0,1,1,0,1,5,1,0,0,0,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,라그릴리아 SPC스퀘어점,2020-04-15,맛좋음가격분위기적당함서비스불친절음식대기 오래걸림  서버 인원은 충분한데 한결같이 다들 불친절해서특히 남직원 맛있게 먹었지만 재방문을 망설일것같습니다 직원교육이 필요해보입니다,96,맛 좋음 가격 분위기 적당함 서비스 불친절 음식 대기 오래 걸림 서버 인원은 충분한데 한결같이 다들 불친절해서 특히 남직원 맛있게 먹었지만 재방문을 망설일 것 같습니다 직원 교육이 필요해 보입니다,109,1,1,1,1,0,0,0,1,5,1,1,0,1,1,0,0,1,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,느린마을양조장 강남점,2020-04-29,소문듣고갔습니다만 봄막걸리 맛있었구요 미리예약덕도 봤지만 주변이 너무 시끄러워서 대화하기 부적합한곳 목소리가 쉰소리납니다 실망 안주가 엄청 맛있다고 하여 기대했는데 제육볶음두부김치주문 너므 까암짝놀랐죠 돼지고기를 채썰기로 잡채용사용 고기를찾아 보기 힘들었고 양도 적고 그래서 저녁식사겸 느린마을보쌈을 추가주문 쟁반에 펼쳐서 나온 모양에 또한번 놀랐어요 실망어쩜 그리 손이작으신지요 역시 강남은 푸짐함보단 비주얼인가봅니다 별 1개반도 후하게 드린거 슬퍼마시고 재방문은 고려해볼려구요 웨이팅할만큼 비추 예약은 필수입니다 친절하다는데 계산할때 그분만 친절했어요웃음,312,소문 듣고 갔습니다만 봄 막걸리 맛있었고요 미리 예약 덕도 봤지만 주변이 너무 시끄러워서 대화하기 부적합한 곳 목소리가 쉰 소리 납니다 실망 안주가 엄청 맛있다고 하여 기대했는데 제육볶음 두부김치 주문 너무 깜짝 놀랐죠 돼지고기를 채썰기로 잡채용 사용 고기를 찾아보기 힘들었고 양도 적고 그래서 저녁식사 겸 느린마을 보쌈을 추가 주문 쟁반에 펼쳐서 나온 모양에 또 한 번 놀랐어요 실망 어쩜 그리 손이 작으신지요 역시 강남은 푸짐함보단 비주얼인가 봅니다 재방문은 고려해 보려고요 웨이팅 할 만큼 비추 예약은 필수입니다 친절하다는데 계산할 때 그 분만 친절했어요 웃음,316,1,1,1,0,0,1,0,1,5,1,1,0,0,1,1,1,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
